model,dataset,prompt,topk,n,mrr,hit@1,hit@3,hit@5,hit@10,hit@50
PhenoDP (retriever),phenopacket,N/A,50,6901,0.5854688395223799,0.5123895087668454,0.6326619330531807,0.6719316041153456,0.7191711346181713,0.8148094479061005
PhenoDP (retriever),rarebench,N/A,50,1122,0.34399919431840154,0.25846702317290554,0.38235294117647056,0.4385026737967914,0.5106951871657754,0.661319073083779
gemma3-27b,phenopacket,pp2prompt_v2,3,6901,0.5592667729314592,0.5012317055499202,0.6326619330531807,0.6326619330531807,0.6326619330531807,0.6326619330531807
gemma3-27b,phenopacket,pp2prompt_v2,5,6901,0.5651040911945129,0.49572525720910016,0.6315026807709028,0.6719316041153456,0.6719316041153456,0.6719316041153456
gemma3-27b,phenopacket,pp2prompt_v2,10,6901,0.5648568300430349,0.48761049123315464,0.6248369801478046,0.6729459498623388,0.7191711346181713,0.7191711346181713
gemma3-27b,rarebench,pp2prompt_v2,3,1122,0.3285799168152109,0.28520499108734404,0.38235294117647056,0.38235294117647056,0.38235294117647056,0.38235294117647056
gemma3-27b,rarebench,pp2prompt_v2,5,1122,0.34838086749851455,0.2905525846702317,0.4019607843137255,0.4385026737967914,0.4385026737967914,0.4385026737967914
gemma3-27b,rarebench,pp2prompt_v2,10,1122,0.3787390713861302,0.31016042780748665,0.4295900178253119,0.47950089126559714,0.5106951871657754,0.5106951871657754
gemma3-27b,rarebench,v7,3,1122,0.31506238859180036,0.2611408199643494,0.3805704099821747,0.3805704099821747,0.3805704099821747,0.3805704099821747
gemma3-27b,rarebench,v7,5,1122,0.32957516339869286,0.26024955436720143,0.3948306595365419,0.4385026737967914,0.4385026737967914,0.4385026737967914
gemma3-27b,rarebench,v7,10,1122,0.34559141838553603,0.2700534759358289,0.3966131907308378,0.44295900178253117,0.5106951871657754,0.5106951871657754
gemma3-27b,phenopacket,v7,3,6901,0.5665120996956963,0.5134038545138385,0.6326619330531807,0.6326619330531807,0.6326619330531807,0.6326619330531807
gemma3-27b,phenopacket,v7,5,6901,0.5767111046708207,0.5147080133314013,0.6368642225764382,0.6719316041153456,0.6719316041153456,0.6719316041153456
gemma3-27b,phenopacket,v7,10,6901,0.5839605716217802,0.5161570786842486,0.6371540356470077,0.673960295609332,0.7191711346181713,0.7191711346181713
gemma4-31b,phenopacket,pp2prompt_v2,3,6901,0.5547022170699899,0.4936965657151138,0.6326619330531807,0.6326619330531807,0.6326619330531807,0.6326619330531807
gemma4-31b,phenopacket,pp2prompt_v2,5,6901,0.564442351350046,0.4992030140559339,0.6187509056658456,0.6719316041153456,0.6719316041153456,0.6719316041153456
gemma4-31b,phenopacket,pp2prompt_v2,10,6901,0.5747925881457254,0.5068830604260253,0.6246920736125199,0.6593247355455731,0.7191711346181713,0.7191711346181713
gemma4-31b,rarebench,pp2prompt_v2,3,1122,0.33407605466428997,0.29411764705882354,0.38235294117647056,0.38235294117647056,0.38235294117647056,0.38235294117647056
gemma4-31b,rarebench,pp2prompt_v2,5,1122,0.35803624480095064,0.3057040998217469,0.4055258467023173,0.4385026737967914,0.4385026737967914,0.4385026737967914
gemma4-31b,rarebench,pp2prompt_v2,10,1122,0.3789933650227768,0.31283422459893045,0.42602495543672014,0.4679144385026738,0.5106951871657754,0.5106951871657754
gemma4-31b,rarebench,v7,3,1122,0.3156565656565657,0.2629233511586453,0.38235294117647056,0.38235294117647056,0.38235294117647056,0.38235294117647056
gemma4-31b,rarebench,v7,5,1122,0.3268122400475342,0.26024955436720143,0.38235294117647056,0.4385026737967914,0.4385026737967914,0.4385026737967914
gemma4-31b,rarebench,v7,10,1122,0.3377779899838724,0.2620320855614973,0.38235294117647056,0.4385026737967914,0.5106951871657754,0.5106951871657754
gemma4-31b,phenopacket,v7,3,6901,0.5783461334106168,0.5348500217359803,0.6326619330531807,0.6326619330531807,0.6326619330531807,0.6326619330531807
gemma4-31b,phenopacket,v7,5,6901,0.590119789402502,0.5374583393711057,0.6391827271409941,0.6719316041153456,0.6719316041153456,0.6719316041153456
gemma4-31b,phenopacket,v7,10,6901,0.600836777738676,0.5429647877119258,0.6425155774525431,0.6756991740327489,0.7191711346181713,0.7191711346181713
llama3.3-70b,phenopacket,pp2prompt_v2,3,6901,0.5682026759406849,0.5180408636429503,0.6326619330531807,0.6326619330531807,0.6326619330531807,0.6326619330531807
llama3.3-70b,phenopacket,pp2prompt_v2,5,6901,0.5727020238612761,0.5090566584552964,0.6315026807709028,0.6719316041153456,0.6719316041153456,0.6719316041153456
llama3.3-70b,phenopacket,pp2prompt_v2,10,6901,0.5807110425680199,0.511520069555137,0.6316475873061875,0.6712070714389219,0.7191711346181713,0.7191711346181713
llama3.3-70b,rarebench,pp2prompt_v2,3,1122,0.3382352941176471,0.30392156862745096,0.38235294117647056,0.38235294117647056,0.38235294117647056,0.38235294117647056
llama3.3-70b,rarebench,pp2prompt_v2,5,1122,0.36088829471182415,0.3146167557932264,0.4001782531194296,0.4385026737967914,0.4385026737967914,0.4385026737967914
llama3.3-70b,rarebench,pp2prompt_v2,10,1122,0.3941685765215177,0.3360071301247772,0.4358288770053476,0.47950089126559714,0.5106951871657754,0.5106951871657754
llama3.3-70b,rarebench,v7,3,1122,0.3135769459298871,0.25935828877005346,0.38235294117647056,0.38235294117647056,0.38235294117647056,0.38235294117647056
llama3.3-70b,rarebench,v7,5,1122,0.3259209744503862,0.25846702317290554,0.38235294117647056,0.4385026737967914,0.4385026737967914,0.4385026737967914
llama3.3-70b,rarebench,v7,10,1122,0.33587662337662333,0.25846702317290554,0.38235294117647056,0.4393939393939394,0.5106951871657754,0.5106951871657754
llama3.3-70b,phenopacket,v7,3,6901,0.5718494904120176,0.5241269381249094,0.6326619330531807,0.6326619330531807,0.6326619330531807,0.6326619330531807
llama3.3-70b,phenopacket,v7,5,6901,0.5806501473216442,0.5229676858426315,0.6361396899000145,0.6719316041153456,0.6719316041153456,0.6719316041153456
llama3.3-70b,phenopacket,v7,10,6901,0.5893002624418361,0.5263005361541806,0.6368642225764382,0.6726561367917693,0.7191711346181713,0.7191711346181713
